"","指数代码","名称","最新价","涨跌额","涨跌幅","振幅","成交量","成交额","昨收","今开","最高","最低","5分钟涨跌"
"150","000910","300工业","2482.35","-40.90","-1.62%","2.16","4662265088","53348344064","2523.25","2513.39","2526.35","2471.82","-0.02%"
"151","000130","380波动","9927.30","-165.60","-1.64%","1.84","4055302400","32087448832","10092.90","10006.54","10082.52","9896.47","-0.07%"
"152","000943","新基建50","1638.29","-27.37","-1.64%","2.92","3128677968","104300449792","1665.66","1658.92","1679.24","1630.69","-0.06%"
"153","000090","上证流通","1311.73","-22.11","-1.66%","1.78","54591060736","651985428480","1333.84","1323.73","1330.99","1307.24","-0.08%"
"154","000027","180运输","932.04","-15.84","-1.67%","1.64","768964000","6627772928","947.88","940.19","945.07","929.51","0.02%"
"155","000955","中证国企","1445.45","-24.48","-1.67%","1.83","54463444736","601144680448","1469.93","1457.34","1467.50","1440.55","-0.09%"
"156","000937","中证公用","1902.85","-32.47","-1.68%","1.74","1053841264","5623812608","1935.32","1928.86","1936.31","1902.58","-0.21%"
"157","000828","300高贝","3642.14","-62.91","-1.70%","2.39","12845526016","267228430336","3705.05","3666.59","3713.32","3624.82","-0.17%"
"158","000118","380价值","7415.27","-128.54","-1.70%","2.08","4843717632","33020230144","7543.81","7489.27","7547.60","7390.69","-0.08%"
"159","000005","商业指数","3573.04","-62.47","-1.72%","2.35","7221463552","96616951808","3635.51","3598.06","3646.69","3561.14","-0.14%"
"160","000044","上证中盘","3924.30","-68.62","-1.72%","1.95","13688301312","178465447936","3992.92","3964.85","3991.24","3913.54","-0.14%"
"161","000095","上证中游","3047.96","-53.65","-1.73%","2.20","10234607616","132125396992","3101.61","3088.06","3101.94","3033.73","-0.08%"
"162","000139","上证转债","329.50","-5.81","-1.73%","1.73","1214087504","20403693568","335.31","335.18","335.18","329.38","-0.05%"
"163","000028","180成长","4773.13","-84.94","-1.75%","1.83","3995943904","113810595840","4858.07","4812.31","4838.70","4749.73","-0.08%"
"164","000093","180分层","11180.84","-202.20","-1.78%","1.97","21592953088","317512683520","11383.04","11316.49","11372.55","11148.36","-0.14%"
"165","000987","全指材料","3127.16","-56.51","-1.78%","1.64","16844175872","158786428928","3183.67","3158.96","3170.52","3118.32","-0.06%"
"166","000854","500原料","4172.49","-76.67","-1.80%","1.84","4817648640","36913842432","4249.16","4212.27","4235.75","4157.46","-0.12%"
"167","000146","优势制造","6762.90","-124.57","-1.81%","2.75","2484504704","34239410176","6887.47","6911.74","6934.83","6745.37","-0.12%"
"168","000300","沪深300","4753.13","-87.64","-1.81%","1.80","31694964992","510472056832","4840.77","4796.09","4821.37","4734.47","-0.09%"
"169","000860","结构调整","1044.18","-20.04","-1.88%","1.97","7529460736","106955911168","1064.22","1058.12","1062.58","1041.64","-0.09%"
"170","000975","钱江30","1612.62","-31.48","-1.91%","2.45","1871822992","31339764224","1644.11","1628.92","1643.43","1603.15","0.01%"
