code,dayVol,weekVol,名称
000125,0.009988194225911766,0.023536652091147997,180稳定
000126,0.012698972796861038,0.029773124443249723,消费50
000128,0.01425004171331525,0.03140906640811815,380基本
000129,0.010514912248271559,0.024637816820993065,180波动
000130,0.012895699071688072,0.027962581113317786,380波动
000131,0.017607761633543818,0.039359564785994734,上证高新
000132,0.014376504927395953,0.0324712366541938,上证100
000133,0.015567678020430499,0.036319355605874945,上证150
000134,0.010333071293165104,0.025428779696377152,上证银行
000135,0.014134936667354814,0.03293682301396195,180高贝
000136,0.009998688630762429,0.02325789214017736,180低贝
000137,0.01735614780239878,0.03904587024237973,380高贝
000138,0.012404255534056408,0.028049822071048634,380低贝
000139,0.006206850684882072,0.015748349311781925,上证转债
000141,0.015568077847575412,0.035189324498818585,380动态
000142,0.013818089544189184,0.030947836386724697,380稳定
000145,0.01593736318151605,0.03459868077168904,优势资源
000146,0.015357181564575155,0.034756685277895424,优势制造
000147,0.01404839034920667,0.03207079249747277,优势消费
000148,0.012318733968373354,0.027935618194076563,消费领先
000149,0.010155048225512808,0.02439513178853517,180红利
000150,0.012946539654652985,0.02841265899993015,380红利
000151,0.009639994061227288,0.02308231396233766,上国红利
000152,0.010175927186292635,0.024309154927599257,上央红利
000153,0.01317990802524293,0.030351778107141333,上民红利
000155,0.011214417255073444,0.02685411088172245,市值百强
000158,0.01450487899242912,0.03352842037109703,上证环保
000300,0.011568182865997883,0.026978211665634504,沪深300
000802,0.014634236478280545,0.03276918705083807,500沪市
000805,0.01661984830021513,0.03619469983268449,A股资源
000806,0.012219720235850157,0.027960187905307292,消费服务
000807,0.016278436376002434,0.037411012070852324,食品饮料
000808,0.014402816395452373,0.033164123425034144,医药生物
000814,0.01418101360973454,0.03245352532831682,细分医药
000816,0.015361859243338662,0.03543071224416916,细分地产
000819,0.017300244445555616,0.03845545340497876,有色金属
000821,0.010404964740922442,0.024905028003823052,300红利
000827,0.014555679453872376,0.03369632337358276,中证环保
000828,0.014936932434973946,0.034429116345398705,300高贝
000832,0.006185201634342754,0.015543880069490226,中证转债
000833,5.577026855047213e-4,0.0014161287430182908,中高企债
000841,0.014045868456351106,0.032168293167909034,800医药
000842,0.013778531410761529,0.03102700057942012,800等权
000846,0.011817735491623745,0.02727665204786438,ESG100
000901,0.011827995613069622,0.027402745353011206,小康指数
000903,0.011273998590732616,0.02680234973638312,中证100
