,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,district,fullname,lat,lng,local,name,region
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,浦东,浦东新区连波路228弄,31.198633,121.558967,"{'lng': 121.558967, 'lat': 31.198633}",连波路228弄,北蔡
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,浦东,浦东新区莲文苑,31.192709000000004,121.552044,"{'lng': 121.552044, 'lat': 31.192709}",莲文苑,北蔡
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,浦东,浦东新区花木公寓,31.195421000000003,121.567108,"{'lng': 121.567108, 'lat': 31.195421}",花木公寓,北蔡
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,浦东,浦东新区万邦都市花园,31.207248,121.55931299999999,"{'lng': 121.559313, 'lat': 31.207248}",万邦都市花园,北蔡
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,浦东,浦东新区浦东星河湾,31.198266999999998,121.543877,"{'lng': 121.543877, 'lat': 31.198267}",浦东星河湾,北蔡
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,浦东,浦东新区龙沟新苑,31.204247,121.57514099999999,"{'lng': 121.575141, 'lat': 31.204247}",龙沟新苑,北蔡
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,浦东,浦东新区花木新村,31.200992,121.564105,"{'lng': 121.564105, 'lat': 31.200992}",花木新村,北蔡
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,浦东,浦东新区紫竹轩,31.19067,121.557267,"{'lng': 121.557267, 'lat': 31.19067}",紫竹轩,北蔡
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,浦东,浦东新区南新二村,31.175388,121.55075500000001,"{'lng': 121.550755, 'lat': 31.175388}",南新二村,北蔡
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,浦东,浦东新区绿川小区,31.176612,121.555341,"{'lng': 121.555341, 'lat': 31.176612}",绿川小区,北蔡
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,浦东,浦东新区由由三村,31.20011400000001,121.53531799999999,"{'lng': 121.535318, 'lat': 31.200114}",由由三村,北蔡
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,浦东,浦东新区莲泰苑,31.186976,121.570333,"{'lng': 121.570333, 'lat': 31.186976}",莲泰苑,北蔡
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,浦东,浦东新区莲杨苑,31.183302,121.56781699999999,"{'lng': 121.567817, 'lat': 31.183302}",莲杨苑,北蔡
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,浦东,浦东新区由由一村,31.201125,121.535779,"{'lng': 121.535779, 'lat': 31.201125}",由由一村,北蔡
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,浦东,浦东新区紫翠高清苑,31.171999999999997,121.55106,"{'lng': 121.55106, 'lat': 31.172}",紫翠高清苑,北蔡
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,浦东,浦东新区芳华路713弄,31.203378000000004,121.570171,"{'lng': 121.570171, 'lat': 31.203378}",芳华路713弄,北蔡
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,浦东,浦东新区金旋小区,31.189145,121.54128899999999,"{'lng': 121.541289, 'lat': 31.189145}",金旋小区,北蔡
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,浦东,浦东新区绿川馨康苑,31.180508000000003,121.55716000000001,"{'lng': 121.55716, 'lat': 31.180508}",绿川馨康苑,北蔡
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,浦东,浦东新区大华锦绣华城(十七街区)(公寓),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十七街区)(公寓),北蔡
67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,浦东,浦东新区培花七村,31.197153000000004,121.563296,"{'lng': 121.563296, 'lat': 31.197153}",培花七村,北蔡
68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,浦东,浦东新区鹏健苑,31.180891,121.55904699999999,"{'lng': 121.559047, 'lat': 31.180891}",鹏健苑,北蔡
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,浦东,浦东新区大华锦绣华城(十四街区),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十四街区),北蔡
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,浦东,浦东新区由由新邸,31.195421000000003,121.531898,"{'lng': 121.531898, 'lat': 31.195421}",由由新邸,北蔡
71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,浦东,浦东新区海上国际花园(二期),31.188143,121.55178000000001,"{'lng': 121.55178, 'lat': 31.188143}",海上国际花园(二期),北蔡
72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,浦东,浦东新区南杨花园,31.19836500000001,121.561012,"{'lng': 121.561012, 'lat': 31.198365}",南杨花园,北蔡
73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,浦东,浦东新区由由二村,31.197982,121.534581,"{'lng': 121.534581, 'lat': 31.197982}",由由二村,北蔡
74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,浦东,浦东新区莲东新村,31.16835,121.766079,"{'lng': 121.766079, 'lat': 31.16835}",莲东新村,北蔡
75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,浦东,浦东新区由由五村,31.19672000000001,121.53834499999999,"{'lng': 121.538345, 'lat': 31.19672}",由由五村,北蔡
76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,浦东,浦东新区陆家嘴锦绣里,31.244555,121.5099,"{'lng': 121.5099, 'lat': 31.244555}",陆家嘴锦绣里,北蔡
