小区名称,区域,已售,楼龄,电梯,地铁,面积,总价1,总价2,总价3,单价1,单价2,单价3
万科红人馆,松江,25,7.0,0.0,0.0,47.446799999999996,95.7,106.33333333333333,102.0,1.9721916666666663,2.3063333333333333,2.166016666666667
万科金色华亭,松江,33,7.424242424242424,1.0,0.0,94.7960606060606,330.6666666666667,344.375,334.65000000000003,3.53435,3.7581125,3.577833333333334
万科金色城市,浦东,44,10.0,1.0,1.0,92.3668181818182,617.9583333333334,653.0833333333334,698.5555555555555,6.958525000000001,7.559366666666667,7.4872
万科金色里程(公寓),浦东,28,10.5,1.0,0.0,88.31035714285716,684.3333333333334,771.6,747.5714285714286,7.813625000000001,8.61342,8.498185714285714
万科金色雅筑,浦东,30,12.0,0.7333333333333333,1.0,90.93833333333333,625.625,627.0,636.5,6.961841666666666,7.55705,7.107925
万科金色领域,嘉定,47,6.531914893617022,1.0,1.0,88.26170212765956,,323.8,307.75,,3.657,3.4640499999999994
万科锦源(公寓),青浦,6,9.0,0.3333333333333333,1.0,108.78166666666668,465.0,390.0,397.0,3.813575,4.3757,4.4607
万科阳光苑,闵行,89,11.303370786516854,0.6067415730337079,0.0,84.9625842696629,306.09375,382.8842105263158,343.5,3.6856500000000003,4.378505263157894,4.100533333333333
万科魅力之城,闵行,19,16.0,0.05263157894736842,1.0,109.78473684210526,445.0,653.1666666666666,588.3333333333334,4.5839,5.766766666666666,5.585333333333334
万立城(公寓),嘉定,8,4.0,1.0,0.0,97.41000000000001,200.0,299.0,283.0,1.9418,2.9598,3.0547
万航小区,长宁,11,25.0,1.0,1.0,65.11272727272727,441.5,425.8333333333333,426.5,5.791,6.6052,7.11585
万荣小区,静安,85,25.28235294117647,0.0,0.0,50.49376470588235,228.05555555555554,259.12857142857143,278.0925925925926,5.042777777777778,5.855578571428572,5.282107407407408
万荣新苑,静安,19,25.88888888888889,0.0,0.0,62.03315789473684,301.2857142857143,,350.75,4.848457142857143,,5.431975
万象园,徐汇,6,21.0,0.5,1.0,105.33166666666666,546.0,,510.0,5.5353,,5.1704
万达城市公寓,嘉定,62,9.790322580645162,1.0,1.0,88.15612903225804,417.45454545454544,453.5214285714286,458.9764705882353,4.545036363636364,5.129492857142857,5.1355764705882345
万达广场(周浦),浦东,17,11.0,1.0,0.0,52.79647058823529,109.725,135.25,99.5,2.1689000000000003,2.32035,1.9276
万达广场(嘉定),嘉定,85,9.0,1.0,1.0,52.61729411764707,99.1,115.89583333333333,106.3111111111111,1.8673966666666668,2.119279166666667,2.0451999999999995
万达广场(松江),松江,77,6.0,1.0,0.0,48.44805194805195,86.85588235294118,93.57037037037037,79.75,1.7156235294117645,2.047711111111111,1.7242375
万邦都市花园,浦东,32,17.375,0.96875,1.0,87.9378125,711.75,641.8,616.625,7.13725,7.82071,8.136775
万里一期,普陀,28,21.0,0.17857142857142858,1.0,88.50107142857142,527.1666666666666,509.45,439.125,5.1795222222222215,6.1964749999999995,5.5203875
万里名轩,普陀,4,21.0,0.5,1.0,103.92999999999999,450.0,668.0,470.0,4.6783,5.51025,6.1039
万里晶品苑,普陀,11,10.0,1.0,1.0,84.2309090909091,500.2142857142857,443.0,439.0,6.087514285714286,6.9047,6.8423
万里欣苑,普陀,9,14.0,1.0,1.0,74.84777777777778,400.0,516.25,571.5,6.46,6.8014,6.2885
万里真欣园,普陀,6,21.0,0.5,1.0,86.64166666666667,541.0,474.5,500.0,5.4014,6.3923000000000005,5.8378
万里真金苑,普陀,11,19.727272727272727,0.9090909090909091,1.0,140.04272727272726,694.0,760.0,611.0,4.8896,5.1248,6.1543
万里雅筑,普陀,16,13.5,1.0,1.0,106.5825,701.5,701.2,690.0,6.370533333333333,6.893479999999999,6.416666666666667
万隆花苑,奉贤,5,21.25,0.0,0.0,108.18800000000002,232.0,,207.0,2.0082,,2.3359
万顺水原墅(公寓),闵行,62,8.0,0.9838709677419355,1.0,62.86629032258062,234.55416666666667,258.6111111111111,215.72857142857143,3.550825,4.083255555555556,3.6018428571428567
万顺水原墅(别墅),闵行,4,9.5,0.0,1.0,297.15999999999997,1045.0,1150.0,,4.3624,4.1345,
万顺苑,闵行,15,13.0,1.0,0.0,83.93466666666667,292.5625,290.5,,3.3116749999999997,4.11415,
万馨佳园,浦东,61,15.0,0.0,0.0,77.90983606557376,363.0833333333333,373.40000000000003,330.26071428571424,4.272108333333333,4.6871285714285715,4.326321428571429
万龙新村,奉贤,3,15.666666666666666,0.0,0.0,138.29333333333332,241.0,,340.0,1.6392,,2.57005
三义坊,静安,5,32.2,0.4,0.0,37.391999999999996,347.5,271.0,,7.4174,9.905,
三乐新村,静安,16,35.5,0.125,1.0,37.741249999999994,280.75,242.8,275.5,6.1426,8.5274,7.672575
三九大厦,虹口,6,24.0,1.0,1.0,105.15500000000002,466.5,,435.0,4.318099999999999,,4.3588
三佳花苑,闵行,52,25.653846153846153,0.0,1.0,55.27346153846153,352.2,364.34999999999997,356.96153846153845,5.602040000000001,6.811000000000001,6.67356923076923
三佳苑,闵行,6,25.0,0.0,1.0,63.25999999999999,310.0,294.0,264.0,4.5026,4.4582,4.605
三元新村,青浦,7,26.0,0.0,0.0,62.69714285714286,153.55,178.4,166.6,2.28985,3.2381,2.9545
